Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,HADOOP-84,12330298,client should report file name in which IO exception occurs,shv,yarnon,Minor,Closed,Fixed,16/Mar/06 03:01,08/Jul/09 16:41,
Bug,HADOOP-83,12330297,infinite retries accessing a missing block,shv,yarnon,Major,Closed,Fixed,16/Mar/06 02:59,08/Jul/09 16:41,
Bug,HADOOP-82,12330291,JobTracker loses it: NoSuchElementException,,stack,Minor,Closed,Fixed,16/Mar/06 01:15,03/Aug/06 17:46,
Bug,HADOOP-81,12330274,speculative execution is only controllable from the default config,omalley,omalley,Major,Closed,Fixed,15/Mar/06 15:26,08/Jul/09 16:51,
Bug,HADOOP-78,12330228,rpc commands not buffered,omalley,omalley,Major,Closed,Fixed,14/Mar/06 06:48,03/Aug/06 17:46,
Bug,HADOOP-77,12330200,hang / crash when input folder does not exists.,,joa23,Critical,Closed,Fixed,13/Mar/06 10:05,08/Jul/09 16:51,
Bug,HADOOP-71,12330009,The SequenceFileRecordReader uses the default FileSystem rather than the supplied one,omalley,omalley,Major,Closed,Fixed,09/Mar/06 08:18,08/Jul/09 16:51,
Bug,HADOOP-70,12330006,the two file system tests TestDFS and TestFileSystem take too long,omalley,omalley,Major,Closed,Fixed,09/Mar/06 07:30,08/Jul/09 16:41,
Bug,HADOOP-69,12329946,Unchecked lookup value causes NPE in FSNamesystemgetDatanodeHints,,bpendleton,Major,Closed,Fixed,08/Mar/06 08:51,08/Jul/09 16:41,
Bug,HADOOP-68,12329943,"""Cannot abandon block during write to <file>"" and ""Cannot obtain additional block for file <file>"" errors during dfs write test",omalley,omalley,Major,Closed,Fixed,08/Mar/06 08:11,08/Jul/09 16:41,
Bug,HADOOP-66,12329861,dfs client writes all data for a chunk to /tmp,cutting,sameerp,Major,Closed,Fixed,07/Mar/06 07:55,08/Jul/09 16:41,
Bug,HADOOP-63,12329704,problem with webapp when start a jobtracker,hairong,hairong,Minor,Closed,Fixed,03/Mar/06 10:38,08/Jul/09 16:51,
Bug,HADOOP-57,12329367,hadoop dfs -ls / does not show root of file system,,yarnon,Minor,Closed,Fixed,23/Feb/06 11:17,08/Jul/09 16:41,
Bug,HADOOP-52,12329293,mapred input and output dirs must be absolute,omalley,cutting,Major,Closed,Fixed,22/Feb/06 07:38,08/Jul/09 16:51,
Bug,HADOOP-50,12329291,dfs datanode should store blocks in multiple directories,milindb,cutting,Major,Closed,Fixed,22/Feb/06 07:25,08/Jul/09 16:41,
Bug,HADOOP-42,12329145,PositionCache decrements its position for reads at the end of file,,shv,Major,Closed,Fixed,18/Feb/06 09:58,03/Aug/06 17:46,
Bug,HADOOP-40,12329139,"bufferSize argument is ignored in FileSystem.create(File, boolean, int)",,shv,Minor,Closed,Fixed,18/Feb/06 07:43,03/Aug/06 17:46,
Bug,HADOOP-34,12328900,Build Paths Relative to PWD in build.xml,,jbensley,Trivial,Closed,Fixed,14/Feb/06 02:00,03/Aug/06 17:46,
Bug,HADOOP-28,12328724,webapps broken,,omalley,Major,Closed,Fixed,09/Feb/06 02:41,08/Jul/09 16:51,
Bug,HADOOP-27,12328676,MapRed tries to allocate tasks to nodes that have no available disk space,,michael_cafarella,Major,Closed,Fixed,08/Feb/06 03:07,08/Jul/09 16:51,
Bug,HADOOP-26,12328675,DFS node choice doesn't take available space into account effectively,michael_cafarella,michael_cafarella,Major,Closed,Fixed,08/Feb/06 03:05,08/Jul/09 16:41,
Bug,HADOOP-22,12328625,remove unused imports,,siren,Trivial,Closed,Fixed,07/Feb/06 04:33,03/Aug/06 17:46,
Bug,HADOOP-21,12328622,the webapps need to be updated for the move from nutch,,omalley,Minor,Closed,Fixed,07/Feb/06 04:12,08/Jul/09 16:51,
Bug,HADOOP-19,12317701,Datanode corruption,cutting,rbt,Critical,Closed,Fixed,07/Oct/05 11:46,08/Jul/09 16:41,
Bug,HADOOP-16,12328376,RPC call times out while indexing map task is computing splits,michael_cafarella,schmed,Major,Closed,Fixed,01/Feb/06 08:25,08/Jul/09 16:51,
Bug,HADOOP-12,12328268,InputFormat used in job must be in JobTracker classpath (not loaded from job JAR),,bpendleton,Minor,Closed,Fixed,31/Jan/06 07:00,08/Jul/09 16:51,
Bug,HADOOP-10,12317942,ndfs.replication is not documented within the nutch-default.xml configuration file.,,rbt,Trivial,Closed,Fixed,14/Oct/05 06:02,08/Jul/09 16:41,
Bug,HADOOP-9,12327698,mapred.local.dir  temp dir. space allocation limited by smallest area,asrabkin,pbaclace,Minor,Closed,Fixed,17/Jan/06 10:09,06/Nov/10 05:27,
Bug,HADOOP-7,12327927,MapReduce has a series of problems concerning task-allocation to worker nodes,,michael_cafarella,Major,Closed,Fixed,21/Jan/06 05:40,18/May/15 04:11,
Bug,HADOOP-6,12328620,missing build directory in classpath,,omalley,Minor,Closed,Fixed,07/Feb/06 03:19,03/Aug/06 17:46,
Bug,HADOOP-5,12328611,need commons-logging-api jar file,,omalley,Minor,Closed,Fixed,07/Feb/06 03:04,03/Aug/06 17:46,
Bug,HADOOP-3,12328546,Output directories are not cleaned up before the reduces run,omalley,omalley,Minor,Closed,Fixed,04/Feb/06 05:58,05/Dec/17 04:19,
Bug,HADOOP-2,12328545,Reused Keys and Values fail with a Combiner,omalley,omalley,Major,Closed,Fixed,04/Feb/06 05:54,11/Aug/15 07:18,
